用户id,用户昵称,评论时间,IP地址,评论内容,评论人粉丝数,评论点赞数
4808483550269735,怎么滴_,2022-08-31 11:03:06,马来西亚,谁不喜欢王鹤棣东方青苍呢,723,162.0
4808483407662081,DFSHMILY,2022-08-31 11:03:06,陕西,东方青苍牛@王鹤棣_Dylan,99,144.0
4808483666660176,大冤种别管我了,2022-08-31 11:03:06,山东,王鹤棣东方青苍,3237,107.0
4808484196189331,kws颖,2022-08-31 11:03:06,山东,王鹤棣东方青苍,105,80.0
4808483612919820,超高校级纯爱战神,2022-08-31 11:03:06,安徽,感谢业内的认可，苍兰诀全体主创给我们带来的东方玄幻故事，这个夏日，感恩遇见王鹤棣的东方青苍，也相信演员王鹤棣会带来更好的作品。 @王鹤棣_Dylan ,763,93.0
4808484123839691,棣棣今天帅了吗,2022-08-31 11:03:06,四川,感谢六公主点评，王鹤棣值得,123,59.0
4808483406353788,三岁追棣棣,2022-08-31 11:03:06,内蒙古,王鹤棣的东方青苍惊艳岁月啊,13,78.0
4808473197414896,就是_呉燕怡,2022-08-31 10:16:40,广东,豆瓣评分可以上8分的！！这部剧真的是人物丰满 细节满满 处处伏笔 前呼后应 立意深刻 亲情爱情友情刻画动人，这就是编剧的能力和制作的诚意！好作品，从来不浪费一帧镜头，不掺冗杂的剧情，苍兰诀值得！！！,588,407.0
4808475211205158,Hetherrr,2022-08-31 10:16:40,四川,我最喜欢的一句话是他跪倒在漫天风沙里，慌乱的不知道该如何拥抱自己濒死破碎的爱人。从主创团队到每位主演 都用心做出来的作品怎能不令人感动呢 花絮 照片 ost都给人一种惊喜感，没有不好看的剧情，只有不用心的团队，人心齐泰山移，只有所有人都朝着一个方向努力，剧才会显得无比珍贵， 苍兰诀 YYDS,362,197.0
4808472782965511,Wingwin翼,2022-08-31 10:16:40,广东,卧槽 8452 才知道 ,2,100.0
4808477921248887,今晚精神病院没锁门,2022-08-31 10:16:40,北京,@凯茜魔朵  8452，牛逼了,763,39.0
4808489862433511,泡芙阿油,2022-08-31 10:16:40,辽宁,咋看出来最后的司命殿是苍盐海的啊,158,9.0
4808472606280275,神明不管过期小盆友,2022-08-31 10:16:40,湖南,这剧可以反复推敲,1.4万,22.0
4808495767748637,车车车车的她,2022-08-31 10:16:40,浙江,让我最落泪的有两个情节，一个是东方青苍走出梦境，司命殿消失的时候，一个是决定回月族，挂锁独白的时候，哭惨了,195,9.0
4808490394846447,微博视频,2022-08-31 10:16:40,,您好，恭喜您的视频荣登视频飙升榜，电视剧领域第3名，榜单可在【发现页-视频-视频飙升榜】中展示您的上榜信息，榜单小时级更新请尽快查看哦~快来查看分享你的上榜视频吧~榜单戳》网页链接,1511.2万,1.0
4808475437433098,柒月lin_,2022-08-31 10:16:40,辽宁,所以因为最后又种上了同心咒，在东方青苍自囚的五百年里 他一直都在感受着小兰花的情绪，他一切都知道是吗所以才在最后笑着对小兰花说；“我回来了！”,11,13.0
4808496535574560,篱茉CC,2022-08-31 10:16:40,广东,细节饱满，封神的一部剧,530,1.0
4808486032772474,摩羯二九,2022-08-31 10:16:40,北京,"8452,我开始哭了",1002,5.0
4808488159548582,给我的紫色加点糖,2022-08-31 10:16:40,江苏,卧槽哪里看出是苍盐海的司命殿？我不是合格的诀日,121,2.0
4808526457998345,一枝多肉,2022-08-31 10:16:40,河南,哎呀,69,0.0
4808484958770133,天秤座的白开水小姐,2022-08-31 10:16:40,福建,还在骨兰上面是小兰花为大婚准备的花环,311,8.0
4808471403564842,西安新鲜事,2022-08-31 10:16:40,辽宁,呀呀呀太好了,16.3万,0.0
4808496429664675,一只烊xxxxl,2022-08-31 10:16:40,河北,新垃圾我喜欢,90,1.0
4808486019404816,评论那些nt,2022-08-31 10:16:40,广东,我靠，不失我爱,1,1.0
4808553250425894,Super3778,2022-08-31 10:16:40,河北,感觉俩人，多少有点动心了,2,0.0
4808525157240505,跳舞的西瓜_549,2022-08-31 10:16:40,江苏,哈哈哈，好中二,1,0.0
4808513093899327,扉页豆豆,2022-08-31 10:16:40,安徽,快把五百个G的花絮都放出来。,65,0.0
4807929889556270,奈斯小伍,2022-08-29 21:25:01,山东,昨天是哪些人一直说“这剧要烂尾，这剧要烂尾”的！？给我出来打脸了！！！,11万,3208.0
4807915392734866,香香,2022-08-29 21:25:01,北京,帮我的好妹妹评论的：不满意，再来个千八百集的才可以,1.1万,3520.0
4807915930914360,马屁晶,2022-08-29 21:25:01,山东,我求你来个番外吧 说好三界中最盛大的婚礼呢 小兰花不和大强结婚我丝不瞑目啊,202.4万,2898.0
4807916752212873,守护bkpp的小企鹅,2022-08-29 21:25:01,湖北,我是真的很满意，这真的很不容易了，这个结局很好，希望昨天发疯骂人唱衰的那些人打自己的脸,0,1365.0
